endpoint,class,n,precision,recall,f1
LOSO_Network,Temporal,193,0.6967,0.4404,0.5397
LOSO_Network,Lateral Prefrontal Cortex,107,0.5851,0.514,0.5473
LOSO_Network,Orbitomedial Prefrontal Cortex (OMPFC),104,0.6818,0.5769,0.625
LOSO_Network,"Parietal, and Parieto-occipital region",98,0.4407,0.7959,0.5673
LOSO_Network,Operculum/Insula,81,0.4259,0.5679,0.4868
LOSO_Network,Occipital/Temporal,70,0.7246,0.7143,0.7194
LOSO_Network,Frontal (agranular frontal motor areas),65,0.5932,0.5385,0.5645
LOSO_Network,Subcortical,54,1.0,0.7778,0.875
LOSO_Network,Cingulate gyrus,39,0.5217,0.6154,0.5647
LOSO_Network,Hippocampal formation,8,0.5714,1.0,0.7273
LOMO_Network,Temporal,193,0.6826,0.4262,0.5247
LOMO_Network,Lateral Prefrontal Cortex,107,0.6717,0.4159,0.5137
LOMO_Network,Orbitomedial Prefrontal Cortex (OMPFC),104,0.6026,0.5505,0.5754
LOMO_Network,"Parietal, and Parieto-occipital region",98,0.4417,0.7245,0.5488
LOMO_Network,Operculum/Insula,81,0.3904,0.6265,0.481
LOMO_Network,Occipital/Temporal,70,0.6745,0.7179,0.6955
LOMO_Network,Frontal (agranular frontal motor areas),65,0.6319,0.7,0.6642
LOMO_Network,Subcortical,54,1.0,0.7778,0.875
LOMO_Network,Cingulate gyrus,39,0.5367,0.609,0.5706
LOMO_Network,Hippocampal formation,8,0.5818,1.0,0.7356
LOSO_Exact,V2,15,0.25,0.1333,0.1739
LOSO_Exact,STG,15,0.75,0.2,0.3158
LOSO_Exact,10m,12,0.125,0.0833,0.1
LOSO_Exact,F1,12,0.4118,0.5833,0.4828
LOSO_Exact,1-2,12,0.0,0.0,0.0
LOSO_Exact,F2,12,0.3077,0.3333,0.32
LOSO_Exact,24c,12,0.1429,0.0833,0.1053
LOSO_Exact,10o,12,0.3333,0.3333,0.3333
LOSO_Exact,VIP,11,0.1667,0.0909,0.1176
LOSO_Exact,3a/b,11,0.25,0.1818,0.2105
LOSO_Exact,TPO,11,0.0,0.0,0.0
LOSO_Exact,V1,11,0.6,0.8182,0.6923
LOSO_Exact,13b,10,0.0,0.0,0.0
LOSO_Exact,11l,10,0.0,0.0,0.0
LOSO_Exact,14r,10,0.5385,0.7,0.6087
LOSO_Exact,F3,10,0.4286,0.6,0.5
LOSO_Exact,AL,10,0.0667,0.1,0.08
LOSO_Exact,5,10,0.2,0.4,0.2667
LOSO_Exact,7a,10,0.1429,0.1,0.1176
LOSO_Exact,46d,10,0.0,0.0,0.0
LOSO_Exact,RM,10,0.0,0.0,0.0
LOSO_Exact,7op,10,0.0833,0.1,0.0909
LOSO_Exact,G,10,0.0,0.0,0.0
LOSO_Exact,45,10,0.0,0.0,0.0
LOSO_Exact,Ig,10,0.1818,0.2,0.1905
LOSO_Exact,Id,10,0.1818,0.2,0.1905
LOSO_Exact,TEm,10,0.1429,0.1,0.1176
LOSO_Exact,LIPd,10,0.0833,0.1,0.0909
LOSO_Exact,pu,9,0.75,0.6667,0.7059
LOSO_Exact,TEav,9,0.1818,0.2222,0.2
LOSO_Exact,9d,9,0.2,0.1111,0.1429
LOSO_Exact,F4,9,0.3333,0.1111,0.1667
LOSO_Exact,SII,9,0.0,0.0,0.0
LOSO_Exact,7b,9,0.2,0.2222,0.2105
LOSO_Exact,A1,9,0.4444,0.4444,0.4444
LOSO_Exact,46v,9,0.0909,0.1111,0.1
LOSO_Exact,8Bd,9,0.0,0.0,0.0
LOSO_Exact,8Bs,9,0.0,0.0,0.0
LOSO_Exact,8A,9,0.125,0.1111,0.1176
LOSO_Exact,13l,9,0.25,0.2222,0.2353
LOSO_Exact,LIPv,9,0.0,0.0,0.0
LOSO_Exact,GPeGPi,9,0.875,0.7778,0.8235
LOSO_Exact,PGa,9,0.0833,0.1111,0.0952
LOSO_Exact,F6,8,0.25,0.125,0.1667
LOSO_Exact,cd,8,0.625,0.625,0.625
LOSO_Exact,TEad,8,0.2,0.25,0.2222
LOSO_Exact,TFO,8,0.3333,0.25,0.2857
LOSO_Exact,TEO,8,0.25,0.25,0.25
LOSO_Exact,V3v,8,0.125,0.125,0.125
LOSO_Exact,9m,8,0.0,0.0,0.0
LOSO_Exact,PrCo,8,0.5,0.25,0.3333
LOSO_Exact,R,8,0.0,0.0,0.0
LOSO_Exact,HC,8,0.7778,0.875,0.8235
LOSO_Exact,TEpd,8,0.3333,0.5,0.4
LOSO_Exact,amy,8,0.0,0.0,0.0
LOSO_Exact,Ial,8,0.3333,0.25,0.2857
LOSO_Exact,32,8,0.1429,0.25,0.1818
LOSO_Exact,14c,8,0.6,0.375,0.4615
LOSO_Exact,12r,8,0.1765,0.375,0.24
LOSO_Exact,Iapl,8,0.0667,0.125,0.087
LOSO_Exact,MST,8,0.1111,0.125,0.1176
LOSO_Exact,FST,8,0.1667,0.125,0.1429
LOSO_Exact,V4v,7,0.25,0.1429,0.1818
LOSO_Exact,V4,7,0.2857,0.2857,0.2857
LOSO_Exact,11m,7,0.0,0.0,0.0
LOSO_Exact,thalamus,7,0.8571,0.8571,0.8571
LOSO_Exact,F5,7,0.3333,0.1429,0.2
LOSO_Exact,CL,7,0.0,0.0,0.0
LOSO_Exact,TEpv,7,0.6667,0.2857,0.4
LOSO_Exact,12m,7,0.0,0.0,0.0
LOSO_Exact,F7,7,0.25,0.1429,0.1818
LOSO_Exact,13m,7,0.0,0.0,0.0
LOSO_Exact,NARegion,7,0.625,0.7143,0.6667
LOSO_Exact,Iapm,7,0.4,0.2857,0.3333
LOSO_Exact,7m,6,0.0,0.0,0.0
LOSO_Exact,12o,6,0.1429,0.1667,0.1538
LOSO_Exact,13a,6,0.2857,0.3333,0.3077
